Sex;Age;Periodo;Total
Both genders;39 years old;2015;5.346
Both genders;39 years old;2014;4.757
Both genders;39 years old;2013;4.160
Both genders;39 years old;2012;4.586
Both genders;39 years old;2011;5.652
Both genders;39 years old;2010;5.550
Both genders;39 years old;2009;5.898
Both genders;39 years old;2008;9.670
Both genders;40 years old;2021;8.135
Both genders;40 years old;2020;7.563
Both genders;40 years old;2019;12.080
Both genders;40 years old;2018;10.055
Both genders;40 years old;2017;8.033
Both genders;40 years old;2016;6.252
Both genders;40 years old;2015;5.153
Both genders;40 years old;2014;4.513
Both genders;40 years old;2013;3.988
Both genders;40 years old;2012;4.396
Both genders;40 years old;2011;5.391
Both genders;40 years old;2010;5.150
Both genders;40 years old;2009;5.766
Both genders;40 years old;2008;9.141
Both genders;41 years old;2021;7.738
Both genders;41 years old;2020;7.213
Both genders;41 years old;2019;11.472
Both genders;41 years old;2018;9.400
Both genders;41 years old;2017;7.436
Both genders;41 years old;2016;5.841
Both genders;41 years old;2015;4.917
Both genders;41 years old;2014;4.301
Both genders;41 years old;2013;3.737
Both genders;41 years old;2012;4.090
Both genders;41 years old;2011;5.106
Both genders;41 years old;2010;4.980
Both genders;41 years old;2009;5.388
Both genders;41 years old;2008;7.847
Both genders;42 years old;2021;7.352
Both genders;42 years old;2020;6.782
Both genders;42 years old;2019;10.728
Both genders;42 years old;2018;8.920
Both genders;42 years old;2017;7.261
Both genders;42 years old;2016;5.634
Both genders;42 years old;2015;4.481
Both genders;42 years old;2014;4.159
Both genders;42 years old;2013;3.711
Both genders;42 years old;2012;3.956
Both genders;42 years old;2011;4.926
Both genders;42 years old;2010;4.911
Both genders;42 years old;2009;4.637
Both genders;42 years old;2008;7.529
Both genders;43 years old;2021;7.007
Both genders;43 years old;2020;6.409
Both genders;43 years old;2019;9.891
Both genders;43 years old;2018;8.410
Both genders;43 years old;2017;6.817
Both genders;43 years old;2016;5.386
Both genders;43 years old;2015;4.405
Both genders;43 years old;2014;3.977
Both genders;43 years old;2013;3.593
Both genders;43 years old;2012;3.812
Both genders;43 years old;2011;4.769
Both genders;43 years old;2010;4.224
Both genders;43 years old;2009;4.317
Both genders;43 years old;2008;7.046
Both genders;44 years old;2021;6.533
Both genders;44 years old;2020;6.154
Both genders;44 years old;2019;9.702
Both genders;44 years old;2018;8.072
Both genders;44 years old;2017;6.403
Both genders;44 years old;2016;5.166
Both genders;44 years old;2015;4.307
Both genders;44 years old;2014;3.799
Both genders;44 years old;2013;3.254
Both genders;44 years old;2012;3.578
Both genders;44 years old;2011;4.233
Both genders;44 years old;2010;3.902
Both genders;44 years old;2009;4.268
Both genders;44 years old;2008;6.570
Both genders;45 years old;2021;6.290
Both genders;45 years old;2020;5.816
Both genders;45 years old;2019;9.083
Both genders;45 years old;2018;7.579
Both genders;45 years old;2017;6.095
Both genders;45 years old;2016;4.938
Both genders;45 years old;2015;4.012
Both genders;45 years old;2014;3.553
Both genders;45 years old;2013;3.309
Both genders;45 years old;2012;3.343
Both genders;45 years old;2011;3.909
Both genders;45 years old;2010;3.841
Both genders;45 years old;2009;3.884
Both genders;45 years old;2008;6.000
Both genders;46 years old;2021;6.073
Both genders;46 years old;2020;5.475
Both genders;46 years old;2019;8.635
Both genders;46 years old;2018;7.293
Both genders;46 years old;2017;6.046
Both genders;46 years old;2016;4.742
Both genders;46 years old;2015;3.853
Both genders;46 years old;2014;3.510
Both genders;46 years old;2013;3.108
Both genders;46 years old;2012;3.131
Both genders;46 years old;2011;3.736
Both genders;46 years old;2010;3.598
Both genders;46 years old;2009;3.643
Both genders;46 years old;2008;5.709
Both genders;47 years old;2021;5.731
Both genders;47 years old;2020;5.233
Both genders;47 years old;2019;8.199
Both genders;47 years old;2018;6.969
Both genders;47 years old;2017;5.615
Both genders;47 years old;2016;4.393
Both genders;47 years old;2015;3.657
Both genders;47 years old;2014;3.126
Both genders;47 years old;2013;2.835
Both genders;47 years old;2012;3.060
Both genders;47 years old;2011;3.750
Both genders;47 years old;2010;3.434
Both genders;47 years old;2009;3.365
Both genders;47 years old;2008;5.212
Both genders;48 years old;2021;5.301
Both genders;48 years old;2020;5.108
Both genders;48 years old;2019;7.971
Both genders;48 years old;2018;6.700
Both genders;48 years old;2017;5.232
Both genders;48 years old;2016;4.211
Both genders;48 years old;2015;3.406
Both genders;48 years old;2014;3.001
Both genders;48 years old;2013;2.829
Both genders;48 years old;2012;3.038
Both genders;48 years old;2011;3.641
Both genders;48 years old;2010;3.126
Both genders;48 years old;2009;3.172
Both genders;48 years old;2008;4.946
Both genders;49 years old;2021;5.354
Both genders;49 years old;2020;4.810
Both genders;49 years old;2019;7.557
Both genders;49 years old;2018;6.227
Both genders;49 years old;2017;5.087
Both genders;49 years old;2016;4.022
Both genders;49 years old;2015;3.290
Both genders;49 years old;2014;2.974
Both genders;49 years old;2013;2.692
Both genders;49 years old;2012;2.893
Both genders;49 years old;2011;3.313
Both genders;49 years old;2010;3.058
Both genders;49 years old;2009;3.159
Both genders;49 years old;2008;4.597
Both genders;50 years old;2021;5.282
Both genders;50 years old;2020;4.507
Both genders;50 years old;2019;7.122
Both genders;50 years old;2018;6.165
Both genders;50 years old;2017;4.859
Both genders;50 years old;2016;3.888
Both genders;50 years old;2015;3.194
Both genders;50 years old;2014;2.779
Both genders;50 years old;2013;2.463
Both genders;50 years old;2012;2.587
Both genders;50 years old;2011;3.118
Both genders;50 years old;2010;2.968
Both genders;50 years old;2009;3.010
Both genders;50 years old;2008;4.387
Both genders;51 years old;2021;5.104
Both genders;51 years old;2020;4.463
Both genders;51 years old;2019;6.980
Both genders;51 years old;2018;5.708
Both genders;51 years old;2017;4.664
Both genders;51 years old;2016;3.685
Both genders;51 years old;2015;3.037
Both genders;51 years old;2014;2.726
Both genders;51 years old;2013;2.458
Both genders;51 years old;2012;2.486
Both genders;51 years old;2011;3.000
Both genders;51 years old;2010;2.749
Both genders;51 years old;2009;2.818
Both genders;51 years old;2008;3.891
Both genders;52 years old;2021;4.883
Both genders;52 years old;2020;4.345
Both genders;52 years old;2019;6.310
Both genders;52 years old;2018;5.461
Both genders;52 years old;2017;4.424
Both genders;52 years old;2016;3.524
Both genders;52 years old;2015;2.913
Both genders;52 years old;2014;2.656
Both genders;52 years old;2013;2.222
